"","PyLabel","X","Y","Length","Area","Mean","StdDev","Min","Max","ID","Source_File","CV","Pigmentation","log.Length","Family","Link","PC1","PC2","PC3"
"25",25,5866,806,6.7,10.43,111.43,33.79,30,220,"ID25","Sample_001a_ID25.jpg",0.30324,0.56302,0.826075,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID25.jpg",0.0101127,-0.625442,0.556821
"26",26,5795,843,7.48,13.09,98.03,31.74,26,221,"ID26","Sample_001a_ID26.jpg",0.323778,0.615569,0.873902,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID26.jpg",0.448057,-0.933862,0.43368
"27",27,5827,866,7.67,14.65,119.79,23.98,49,212,"ID27","Sample_001a_ID27.jpg",0.200184,0.530235,0.884795,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID27.jpg",0.267798,0.561412,0.601643
"28",28,5877,832,8.05,15.68,131.19,29.72,43,230,"ID28","Sample_001a_ID28.jpg",0.226542,0.485529,0.905796,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID28.jpg",0.231846,1.436,1.23346
"29",29,5765,817,7.05,12.07,110.53,28.16,43,233,"ID29","Sample_001a_ID29.jpg",0.254772,0.566549,0.848189,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID29.jpg",0.160373,-0.414619,0.386431
"30",30,5889,826,6.29,10.09,109.93,25.24,38,210,"ID30","Sample_001a_ID30.jpg",0.229601,0.568902,0.798651,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID30.jpg",-0.0569665,-0.850136,-0.265389
"31",31,5851,817,7.82,14.58,98.5,30.35,23,229,"ID31","Sample_001a_ID31.jpg",0.308122,0.613725,0.893207,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID31.jpg",0.571372,-0.661291,0.369808
"32",32,5912,789,8.15,13.82,96.81,26.31,29,206,"ID32","Sample_001a_ID32.jpg",0.271769,0.620353,0.911158,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID32.jpg",0.614432,-0.763462,1.56387
"33",33,5910,891,8.07,15.93,97.87,25.31,28,225,"ID33","Sample_001a_ID33.jpg",0.258608,0.616196,0.906874,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID33.jpg",0.687026,-0.490476,0.14165
"34",34,5905,759,9.25,17.52,89.83,29.22,24,219,"ID34","Sample_001a_ID34.jpg",0.325281,0.647725,0.966142,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID34.jpg",1.07229,-0.503483,1.77502
