"","PyLabel","X","Y","Length","Area","Mean","StdDev","Min","Max","ID","Source_File","CV","Pigmentation","log.Length","Family","Link","Width","HeadArea","PC1","PC2","PC3"
"23",23,5937,875,7.69,14.14,118.58,25.76,47,222,"ID23","Sample_001a_ID23.jpg",0.217237,0.53498,0.885926,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID23.jpg",2.5663,2.98454,0.0848454,0.48221,-1.19763
"24",24,5894,858,8.28,14.85,124.29,28.68,45,229,"ID24","Sample_001a_ID24.jpg",0.230751,0.512588,0.91803,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID24.jpg",2.3686,1.50914,0.349358,-0.399895,-0.49501
"25",25,5866,806,6.7,10.43,111.43,33.79,30,220,"ID25","Sample_001a_ID25.jpg",0.30324,0.56302,0.826075,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID25.jpg",3.89586,2.75135,-0.526274,0.00430597,-0.528048
"26",26,5795,843,7.48,13.09,98.03,31.74,26,221,"ID26","Sample_001a_ID26.jpg",0.323778,0.615569,0.873902,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID26.jpg",2.11871,1.18359,-0.50273,-1.79003,-1.01004
"27",27,5827,866,7.67,14.65,119.79,23.98,49,212,"ID27","Sample_001a_ID27.jpg",0.200184,0.530235,0.884795,"fam2","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID27.jpg",2.0148,2.61902,0.282978,0.255639,-1.29184
"28",28,5877,832,8.05,15.68,131.19,29.72,43,230,"ID28","Sample_001a_ID28.jpg",0.226542,0.485529,0.905796,"fam4","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID28.jpg",6.3008,2.04863,0.00212016,1.09492,1.90093
"29",29,5765,817,7.05,12.07,110.53,28.16,43,233,"ID29","Sample_001a_ID29.jpg",0.254772,0.566549,0.848189,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID29.jpg",3.98891,1.90064,-0.265127,-0.199351,0.172919
"30",30,5889,826,6.29,10.09,109.93,25.24,38,210,"ID30","Sample_001a_ID30.jpg",0.229601,0.568902,0.798651,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID30.jpg",3.74634,0.750363,-0.0155074,-0.80111,0.741853
"31",31,5851,817,7.82,14.58,98.5,30.35,23,229,"ID31","Sample_001a_ID31.jpg",0.308122,0.613725,0.893207,"fam3","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID31.jpg",2.85126,2.07065,-0.619394,-0.973262,-0.964394
"32",32,5912,789,8.15,13.82,96.81,26.31,29,206,"ID32","Sample_001a_ID32.jpg",0.271769,0.620353,0.911158,"fam1","https://mluerig.github.io/RR/data/images/Sample_001a/Sample_001a_ID32.jpg",3.07143,3.62703,-0.721653,0.188445,-1.58704
